app_name,category,hinted_toolkit,verified_toolkit,status,match_type
Salesforce,CRM,SALESFORCE,salesforce,verified,exact_slug
HubSpot,CRM,HUBSPOT,hubspot,verified,exact_slug
Pipedrive,CRM,PIPEDRIVE,pipedrive,verified,exact_slug
Attio,CRM,ATTIO,attio,verified,exact_slug
Twenty,CRM,TWENTY,twenty,verified,exact_slug
Podio,CRM,PODIO,,not_found,
Zoho CRM,CRM,ZOHO_CRM,,not_found,
Close,CRM,CLOSE,close,verified,exact_slug
Copper,CRM,COPPER,,not_found,
DealCloud,CRM,DEALCLOUD,,not_found,
Zendesk,Support,ZENDESK,zendesk,verified,exact_slug
Intercom,Support,INTERCOM,intercom,verified,exact_slug
Freshdesk,Support,FRESHDESK,freshdesk,verified,exact_slug
Front,Support,FRONT,,not_found,
Pylon,Support,PYLON,,not_found,
LiveAgent,Support,LIVEAGENT,,not_found,
Plain,Support,PLAIN,plain,verified,exact_slug
Help Scout,Support,HELPSCOUT,help_scout,verified,exact_name
Gorgias,Support,GORGIAS,gorgias,verified,exact_slug
Gladly,Support,GLADLY,,not_found,
Slack,Communications,SLACK,slack,verified,exact_slug
Twilio,Communications,TWILIO,,not_found,
Zoho Cliq,Communications,ZOHO_CLIQ,,not_found,
Lark,Communications,LARK,,not_found,
Pumble,Communications,PUMBLE,pumble,verified,exact_slug
Discord,Communications,DISCORD,discord,verified,exact_slug
Telegram,Communications,TELEGRAM,telegram,verified,exact_slug
WhatsApp Business,Communications,WHATSAPP,whatsapp,verified,exact_slug
Aircall,Communications,AIRCALL,,not_found,
Vonage,Communications,VONAGE,,not_found,
Google Ads,Marketing/Advertising,GOOGLE_ADS,googleads,verified,exact_name
Meta Ads,Marketing/Advertising,META_ADS,metaads,verified,exact_name
LinkedIn Ads,Marketing/Advertising,LINKEDIN_ADS,linkedin_ads,verified,exact_slug
GoHighLevel,Marketing/Advertising,GOHIGHLEVEL,highlevel,candidate,fuzzy
Mailchimp,Marketing/Advertising,MAILCHIMP,mailchimp,verified,exact_slug
Klaviyo,Marketing/Advertising,KLAVIYO,klaviyo,verified,exact_slug
systeme.io,Marketing/Advertising,SYSTEME_IO,,not_found,
Pinterest,Marketing/Advertising,PINTEREST,pinterest,verified,exact_slug
Threads,Marketing/Advertising,THREADS,,not_found,
SendGrid,Marketing/Advertising,SENDGRID,sendgrid,verified,exact_slug
Shopify,Ecommerce,SHOPIFY,shopify,verified,exact_slug
WooCommerce,Ecommerce,WOOCOMMERCE,,not_found,
BigCommerce,Ecommerce,BIGCOMMERCE,,not_found,
Salesforce Commerce Cloud,Ecommerce,SALESFORCE_COMMERCE_CLOUD,,not_found,
Magento,Ecommerce,MAGENTO,,not_found,
Squarespace,Ecommerce,SQUARESPACE,,not_found,
Ecwid,Ecommerce,ECWID,,not_found,
Gumroad,Ecommerce,GUMROAD,gumroad,verified,exact_slug
